Aircraft Name,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2006 Hawker 400XP,N29134,RK-484,"$ 2,495,000","3,507","3,113","VA, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196676&listingType=true
2006 Hawker 400XP,N501XP,RK-501,Inquire,"5,316","3,779","MO, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=195926&listingType=true
2007 Hawker 400XP,HA-YFH,RK-528,Inquire,"1,547","1,303",CH,Pula Aviation Services Ltd,https://www.aso.com/listings/spec/ViewAd.aspx?id=198018&listingType=true
2010 Hawker 4000,N349AJ,RC-0042,Inquire,"4,627","3,400","UT, US",Jet 8 Aviation Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=197139&listingType=true
2011 Hawker 4000,M-PINK,RC-0058,Inquire,"2,200","1,600",GB,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198848&listingType=true
2008 Hawker 4000,N1119K,RC-11,Inquire,"4,406","2,930","CO, US",Hatt & Associates,https://www.aso.com/listings/spec/ViewAd.aspx?id=197852&listingType=true
1997 Gulfstream G-V,N125GG,526,Inquire,"12,022","4,450","TX, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198935&listingType=true
1998 Gulfstream G-V,N780W,530,"$ 9,995,000","10,594","4,727","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196893&listingType=true
1999 Gulfstream G-V,N820HB,570,"$ 7,500,000","11,411","4,382","NJ, US",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=197668&listingType=true
2001 Gulfstream G-IVSP,N/A,N/A,Inquire,"4,280","1,670",CH,Aradian Aviation Ltd.,https://www.aso.com/listings/spec/ViewAd.aspx?id=169832&listingType=true
1996 Gulfstream G-IVSP,N/A,N/A,Inquire,"10,304","4,587",,Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=191683&listingType=true
1994 Gulfstream G-IVSP,N999TR,1248,Inquire,"8,829","4,298","AZ, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=191428&listingType=true
1996 Gulfstream G-IVSP,N999AA,1286,"$ 3,650,000","13,245","6,028","VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=196406&listingType=true
1996 Gulfstream G-IVSP,N429DD,1293,"$ 3,800,000","13,130","6,039","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196479&listingType=true
