Year,Make,Model,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
1992,Learjet,31 A,N444HC,064,499000,4254,3300,"NC, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197214&listingType=true
1994,Learjet,31 A,N840SW,084,850000,6289,5706,"FL, US",,https://www.aso.com/listings/spec/ViewAd.aspx?id=197903&listingType=true
1980,Learjet,25 D,N108FL,300,345000,6227,nan,"NC, US",USA Jet & Helicopter,https://www.aso.com/listings/spec/ViewAd.aspx?id=198598&listingType=true
1975,Learjet,25 B,N251TS,201,285000,6731,4999,"FL, US",USA Jet & Helicopter,https://www.aso.com/listings/spec/ViewAd.aspx?id=198602&listingType=true
1985,IAI,Westwind 2,YV606T,0434,Inquire,8543,6048,"FL, US",Aerocentro Corp,https://www.aso.com/listings/spec/ViewAd.aspx?id=196362&listingType=true
1984,IAI,Westwind 2,N772DC,410,Inquire,7418,6195,"MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196851&listingType=true
1985,IAI,Westwind 2,CP-2784,433,350000,7286,6655,BO,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=195699&listingType=true
1979,IAI,Westwind 1,N418WA,250,229000,8335,5600,"LA, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198777&listingType=true
1998,IAI,Astra SPX,C6-BRD,103,2300000,3954,2320,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196882&listingType=true
1992,IAI,Astra SP,,,Inquire,4190,1943,"FL, US","JetLease Palm Beach, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=186480&listingType=true
1990,IAI,Astra SP,N986HH,041,Inquire,8520,4523,"FL, US","United Wings International, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=194518&listingType=true
2001,IAI,Astra 1125 SPX,N63UC,136,2395000,4372,2920,"FL, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198834&listingType=true
1998,IAI,Astra 1125,N334LV,0096,Inquire,4634,3871,EC,Fenix Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198697&listingType=true
1996,IAI,Astra 1125,N684SJ,081,1950000,7273,4102,"TX, US",Charlie Bravo Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=197126&listingType=true
2016,Honda,HondaJet HA-420,N110HJ,42000020,2795000,2116,1429,"OK, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198526&listingType=true
2024,Honda,HondaJet Elite II,,,Inquire,00,nan,"MA, US",Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=196400&listingType=true
2016,Honda,HondaJet APMG,N419DB,42000040,Inquire,996,1052,"IN, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=192921&listingType=true
2017,Honda,HondaJet,N505RP,42000042,Inquire,539,326,"KS, US",Textron Aviation Pre-Owned ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198922&listingType=true
2018,Honda,HondaJet,SP-CHE,42000091,Inquire,1680,1150,"FL, US","Global Wings, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197999&listingType=true
2024,Honda,HondaJet,N229CX,42000264,Inquire,95,nan,"NC, US",Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=197759&listingType=true
2007,Hawker,900XP,N42NH,0006,Inquire,4090,2589,"TX, US",Thomas Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198604&listingType=true
2007,Hawker,900XP,N1776C,HA0002,Inquire,4587,2848,"OH, US",Axiom Aviation Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198613&listingType=true
2007,Hawker,900XP,N330GW,HA-0003,Inquire,4683,2484,"NH, US","The VanAllen Group, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199376&listingType=true
2008,Hawker,900XP,N900XF,HA-0028,4995000,1563,1322,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198419&listingType=true
2008,Hawker,900XP,N901MB,HA-0046,Inquire,4080,2503,"TX, US",Dallas Jet International,https://www.aso.com/listings/spec/ViewAd.aspx?id=195510&listingType=true
2010,Hawker,900XP,N916JB,HA-0150,Inquire,5240,3268,"FL, US",Fenix Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198854&listingType=true
2008,Hawker,850XP 2008,N334US,258980,Inquire,4660,3007,"CO, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197654&listingType=true
2006,Hawker,850XP,N720TM,258758,3350000,10303,8112,"NJ, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196773&listingType=true
2006,Hawker,850XP,N810GB,258764,Inquire,3197,2475,EC,"Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199128&listingType=true
2006,Hawker,850XP,N150GF,258823,4500000,3508,1804,"KS, US",Textron Aviation Pre-Owned ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196650&listingType=true
2007,Hawker,850XP,N641RP,258858,Inquire,4002,3180,"OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197827&listingType=true
2005,Hawker,800XP i,N920EJ,258705,2995000,9128,6657,"DE, US",Caliber Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198458&listingType=true
2005,Hawker,800XP i,N743WJ,258743,2575000,9297,6385,"NJ, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196774&listingType=true
2007,Hawker,800XP i,SX-FLY,258834,Inquire,9791,6564,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198807&listingType=true
1999,Hawker,800XP,N383MV,258403,2385000,7709,5209,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197878&listingType=true
2001,Hawker,800XP,N989CL,258535,2195000,9196,6091,"NJ, US",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198783&listingType=true
2002,Hawker,800XP,N771FM,258591,Inquire,4998,3399,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197877&listingType=true
2003,Hawker,800XP,N128KH,258621,2550000,8180,5599,"MT, US",Magna Air Group LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197190&listingType=true
2003,Hawker,800XP,N851RG,258634,Inquire,4534,2928,"TX, US",Charlie Bravo Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198896&listingType=true
2003,Hawker,800XP,N279CF,258642,3600000,3766,2330,"VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198401&listingType=true
2005,Hawker,800XP,N874TX,258714,Inquire,8988,6219,"FL, US","Ramjet Aviation, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198451&listingType=true
2005,Hawker,800XP,N609RC,258720,2675000,10315,nan,"NY, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198255&listingType=true
1994,Hawker,800 SP,N732AA,258243,Inquire,10778,7380,"TN, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198528&listingType=true
1987,Hawker,800 A,N180NE,25810,Inquire,6503,6144,"NY, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199059&listingType=true
1993,Hawker,800 A,N58BL,258236,1550000,6911,5348,"FL, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198776&listingType=true
1995,Hawker,800 A,N489BM,258271,1995000,9793,7523,"TX, US","Priority 1 Aviation, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198905&listingType=true
1989,Hawker,800,N800AF,258158,1800000,10800,6230,"AR, US",Reata Jet,https://www.aso.com/listings/spec/ViewAd.aspx?id=198749&listingType=true
2008,Hawker,750,XA-PEM,HB-0008,Inquire,8469,5800,"MO, US",JetBrokers,https://www.aso.com/listings/spec/ViewAd.aspx?id=196439&listingType=true
2008,Hawker,750,N831EM,HB-0012,Inquire,2034,1494,"VA, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198216&listingType=true
1982,Hawker,700 A,N26ME,NA-0315,549000,11919,8045,"VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=197882&listingType=true
1994,Hawker,400XP R,N400XP,RK-96,Inquire,7379,10533,"MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=195335&listingType=true
2006,Hawker,400XP,,,Inquire,5607,4937,BR,Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=199437&listingType=true
2004,Hawker,400XP,N501FF,RK-364,1900000,5271,4240,"MO, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198652&listingType=true
2005,Hawker,400XP,N442GJ,RK442,1195000,11108,9322,"DE, US",Caliber Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198460&listingType=true
2006,Hawker,400XP,N29134,RK-484,2495000,3507,3113,"VA, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196676&listingType=true
2006,Hawker,400XP,N501XP,RK-501,Inquire,5316,3779,"MO, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=195926&listingType=true
2007,Hawker,400XP,HA-YFH,RK-528,Inquire,1547,1303,CH,Pula Aviation Services Ltd,https://www.aso.com/listings/spec/ViewAd.aspx?id=198018&listingType=true
2010,Hawker,4000,N349AJ,RC-0042,Inquire,4627,3400,"UT, US",Jet 8 Aviation Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=197139&listingType=true
2011,Hawker,4000,M-PINK,RC-0058,Inquire,2200,1600,GB,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198848&listingType=true
2008,Hawker,4000,N1119K,RC-11,Inquire,4406,2930,"CO, US",Hatt & Associates,https://www.aso.com/listings/spec/ViewAd.aspx?id=197852&listingType=true
1997,Gulfstream,G-V,N125GG,526,Inquire,12022,4450,"TX, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198935&listingType=true
1998,Gulfstream,G-V,N780W,530,9995000,10594,4727,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196893&listingType=true
1999,Gulfstream,G-V,N820HB,570,7500000,11411,4382,"NJ, US",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=197668&listingType=true
2001,Gulfstream,G-IVSP,,,Inquire,4280,1670,CH,Aradian Aviation Ltd.,https://www.aso.com/listings/spec/ViewAd.aspx?id=169832&listingType=true
1996,Gulfstream,G-IVSP,,,Inquire,10304,4587,,Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=191683&listingType=true
1994,Gulfstream,G-IVSP,N999TR,1248,Inquire,8829,4298,"AZ, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=191428&listingType=true
1996,Gulfstream,G-IVSP,N999AA,1286,3650000,13245,6028,"VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=196406&listingType=true
1996,Gulfstream,G-IVSP,N429DD,1293,3800000,13130,6039,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196479&listingType=true
2000,Gulfstream,G-IVSP,N93QQ,1407,Inquire,11157,5333,"UT, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199365&listingType=true
2000,Gulfstream,G-IVSP,N1428N,1428,Inquire,6186,2912,"FL, US",Mesinger Jet Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197984&listingType=true
2001,Gulfstream,G-IVSP,N415MA,1463,3995000,16759,8397,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=199092&listingType=true
2001,Gulfstream,G-IVSP,N394AK,1470,5950000,14456,7096,"NY, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198987&listingType=true
1995,Gulfstream,G-IVSP,N120JJ,IV-1264,Inquire,13923,6664,"CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197894&listingType=true
2003,Gulfstream,G-IVSP,,IV-1497,Inquire,nan,nan,"CA, US",Flight Source International,https://www.aso.com/listings/spec/ViewAd.aspx?id=196805&listingType=true
1990,Gulfstream,G-IV,M-TGAU,1130,Inquire,19020,10144,CH,Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=195448&listingType=true
1990,Gulfstream,G-IV,N222GY,1142,Inquire,6706,3274,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199318&listingType=true
1990,Gulfstream,G-IV,N306TT,1148,3950000,6604,3995,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199359&listingType=true
1990,Gulfstream,G-IV,N188SA,1150,3200000,14366,5836,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=194781&listingType=true
1991,Gulfstream,G-IV,N711WR,1171,Inquire,8157,4523,"IL, US","Jet Sense Aviation, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198837&listingType=true
1991,Gulfstream,G-IV,N960DP,IV-1157,Inquire,11534,4890,"CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199016&listingType=true
1992,Gulfstream,G-IV,N583AJ,IV-1184,3000000,13268,5272,"CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198975&listingType=true
2024,Gulfstream,G700,,,Inquire,nan,nan,GB,Freestream Aircraft Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=198333&listingType=true
2013,Gulfstream,G650 ER,N650MT,6030,Inquire,2543,961,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198755&listingType=true
2014,Gulfstream,G650 ER,N288Z,6093,29950000,4477,1514,"GA, US",Gulfstream Aerospace Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198895&listingType=true
